deltaX,deltaY,deltaTheta,Velocity,SteeringAngle,Time
7.525742,4.265503,0.098276,7.220784,0.224164,1.252784
4.894269,-5.804752,0.814972,6.964027,-0.382898,1.241119
3.893734,-4.783762,0.706179,5.133977,-0.466016,1.374996
-1.990974,-3.781180,2.793150,6.764547,-0.691734,1.467486
6.368447,1.820129,1.749130,5.965448,0.164448,1.124773
-0.717927,-5.684443,1.907399,9.717981,-0.605770,1.008138
5.399570,4.429433,1.175052,7.097194,0.348422,1.065936
1.525074,4.959413,1.711936,5.452177,0.635033,1.266911
10.405441,1.468859,0.881129,9.005614,0.053145,1.170728
7.814381,-2.668233,1.074179,6.150535,-0.155281,1.367079
4.865621,-5.554214,0.933763,5.809690,-0.386942,1.438586
8.126069,-4.502819,3.103887,8.037371,-0.205743,1.206718
0.731360,-8.123754,0.119311,8.559966,-0.454354,1.416931
2.701928,-6.862021,1.912045,7.371790,-0.467390,1.285565
2.479400,6.734488,1.369934,7.337862,0.481914,1.269399
7.712375,-0.516444,2.721479,7.633500,-0.034571,1.013350
12.940812,3.140012,1.495672,9.107786,0.070703,1.475980
13.728891,-1.316019,2.541136,9.832231,-0.027677,1.404853
7.171487,-6.991036,1.428435,7.578727,-0.271898,1.462753
11.285414,0.448554,0.249602,9.703558,0.014055,1.164243
-2.830741,-2.995660,1.081358,8.811474,-0.614349,1.498101
9.105385,1.838317,1.251708,6.239122,0.085003,1.498742
0.911110,4.685409,2.379671,6.375100,0.688365,1.051625
8.219584,6.123255,0.881325,9.308140,0.229041,1.180147
4.511679,5.524388,2.425088,5.803528,0.409760,1.405844
7.626981,-6.927520,1.650109,8.187984,-0.255332,1.380071
2.385372,-6.494458,1.766838,8.073727,-0.497229,1.112654
1.063835,5.762041,2.439284,8.025544,0.591204,1.030668
-2.065358,-5.973523,0.605185,9.747705,-0.539046,1.306062
11.017200,1.722257,0.974329,8.359540,0.055336,1.339286
7.230300,6.841043,1.619442,7.451791,0.269463,1.472691
-0.639244,4.666266,1.300252,6.519039,0.699485,1.244742
6.919101,-1.588010,1.724081,6.369602,-0.125392,1.124022
-0.756769,4.415742,1.511277,5.795560,0.721647,1.365089
8.277900,9.188883,2.120614,9.433365,0.235815,1.477863
10.815598,0.256757,0.149132,8.488261,0.008765,1.274662
4.512330,5.029773,2.133597,7.479273,0.415025,1.019023
8.033444,2.281692,1.738786,6.601295,0.130115,1.281376
0.072447,-4.828908,2.791025,5.244231,-0.691686,1.432904
7.449687,-4.090095,3.128414,6.645331,-0.222765,1.334246
7.844160,-0.907268,2.418085,5.507268,-0.058146,1.436998
1.753501,7.120909,2.069387,9.679410,0.487045,1.037275
5.820400,-10.300589,2.786793,9.791724,-0.286272,1.466218
4.966434,-3.753577,2.216734,6.072313,-0.369623,1.100429
2.867696,5.049479,0.341175,5.707693,0.539654,1.233549
0.701741,-6.533457,0.227457,7.816206,-0.544282,1.237685
6.078777,4.011494,0.523489,5.695212,0.293744,1.354318
9.309472,9.223936,1.764211,9.803350,0.211600,1.482960
6.308637,-5.390677,1.840371,7.429292,-0.303483,1.215749
1.967367,-10.097637,0.764208,9.941640,-0.364594,1.453146
1.028498,5.928210,2.507080,7.237524,0.579889,1.180415
0.887759,4.843427,2.447408,6.130465,0.674132,1.134681
-1.930554,2.654818,1.253733,6.590606,0.778105,1.354542
3.329159,4.749876,2.886939,5.151130,0.514058,1.319358
5.191744,5.946764,2.218463,7.251425,0.364624,1.232822
-2.130356,-1.715076,0.227636,7.740052,-0.742228,1.388254
4.750839,6.365263,2.699399,6.970165,0.383584,1.321866
-0.233713,6.516878,0.670062,7.851810,0.549915,1.335204
10.221462,5.174617,2.944522,9.904485,0.156399,1.200164
-1.704647,3.506059,0.146671,6.273903,0.745234,1.397999
-1.565944,-4.871800,0.742696,7.156160,-0.639767,1.413457
13.502510,-1.919461,2.254346,9.906595,-0.041265,1.381271
8.287240,-3.855620,0.405508,8.496102,-0.182558,1.110585
2.599303,6.704739,1.262633,7.399346,0.478440,1.251771
0.854140,-4.289993,0.790012,6.017349,-0.731082,1.018604
5.462630,4.673020,1.304710,6.050291,0.347056,1.293440
-1.185625,6.120871,1.647004,8.640067,0.562083,1.295181
1.532745,4.787602,1.639650,6.655554,0.648476,1.000026
-2.186048,-1.848718,0.379464,7.976740,-0.734035,1.355987
-2.259628,-1.863057,0.301015,8.045010,-0.715359,1.403183
5.798449,4.933213,1.287723,6.458399,0.328145,1.282389
0.142153,-6.201251,2.840772,7.689872,-0.572645,1.248892
4.165918,3.662001,1.389291,5.052644,0.444355,1.199015
1.260950,8.550272,2.666439,9.869011,0.429364,1.260885
6.942569,-3.824700,3.119361,6.424892,-0.238866,1.287418
1.767061,-7.157700,1.075930,8.573798,-0.484817,1.176904
5.232272,6.175661,2.311624,7.968271,0.360557,1.155498
8.479761,6.030169,0.742380,8.132363,0.219194,1.364757
2.720704,-7.686067,1.692807,9.327150,-0.433189,1.141128
