deltaX,deltaY,deltaTheta,Velocity,SteeringAngle,Time
1.510616,0.195415,0.257294,5.954034,0.324948,0.256534
4.991160,-4.477640,-1.462437,7.041904,-0.379100,1.042661
0.814532,-0.036811,-0.090325,7.268508,-0.217974,0.112216
14.391761,-1.348902,-0.186909,7.334780,-0.025828,1.973597
1.923944,-0.367021,-0.377000,7.407576,-0.365502,0.265983
4.085177,-11.430984,-2.455129,5.239539,-0.300885,3.020199
0.776981,-0.013112,-0.033749,7.579010,-0.086649,0.102537
4.237969,3.430035,1.360842,5.868967,0.432416,1.004725
0.188158,7.414308,3.090848,8.257073,0.494465,1.388583
3.050232,-0.259455,-0.169713,5.810374,-0.110306,0.527492
3.391987,-1.079022,-0.615974,9.077556,-0.328338,0.398387
5.878666,1.558303,0.518236,6.088690,0.166945,1.010117
5.712636,-9.724929,-2.079354,7.883975,-0.296775,1.724975
1.316795,0.354123,0.525426,9.406322,0.651014,0.146645
1.832647,-4.779428,-2.409285,9.565508,-0.630354,0.690400
9.829581,-2.835274,-0.561641,8.487508,-0.107951,1.221328
4.109157,-8.605180,-2.250586,6.276875,-0.361866,1.894479
10.093519,2.088542,0.408079,5.643109,0.078463,1.839270
5.002370,5.479741,1.661816,7.325658,0.378905,1.139498
5.490558,-2.675634,-0.906897,8.196831,-0.279397,0.771303
2.003076,7.284350,2.604891,9.820211,0.472017,1.039170
6.188312,-6.857770,-1.673336,6.209712,-0.311066,1.676375
11.755484,-8.604070,-1.263658,7.999733,-0.160782,1.948091
0.955818,-0.173545,-0.359221,6.186670,-0.634224,0.157870
8.476013,3.052958,0.691444,6.160194,0.149330,1.492010
0.436785,-4.032366,-2.925794,8.671658,-0.775547,0.688236
1.506861,0.683041,0.851168,7.525145,0.784472,0.226635
1.075218,-9.014813,-2.904170,6.915358,-0.412412,1.919856
1.212308,-0.063597,-0.104823,5.328629,-0.170941,0.227926
1.024026,-0.091641,-0.178506,5.509131,-0.333819,0.186869
6.097968,-1.569276,-0.503757,5.552568,-0.157028,1.146088
2.457533,4.435747,2.129730,7.471671,0.603958,0.826232
1.699816,-0.100313,-0.117891,5.080782,-0.137526,0.335334
7.328444,-0.044735,-0.012208,5.773400,-0.003342,1.269378
1.216020,13.119672,2.956747,6.360984,0.293545,3.075374
0.397634,-6.801289,-3.024797,7.669809,-0.530161,1.345720
3.855817,-2.659586,-1.207640,7.691932,-0.451478,0.647603
6.002067,1.817008,0.587920,5.080543,0.182741,1.252289
10.542512,-1.611243,-0.303319,7.176612,-0.056613,1.491779
2.747905,9.598242,2.583924,6.454276,0.367649,2.078770
7.130320,7.906236,1.673909,7.311790,0.272074,1.641081
2.144899,14.181812,2.841382,9.080721,0.269048,2.269517
0.302105,-5.079961,-3.022793,7.470946,-0.665310,1.031327
2.672790,5.457801,2.230814,6.276144,0.533861,1.202593
3.988621,1.968931,0.917089,6.148654,0.378814,0.749418
2.705008,-9.512816,-2.587509,5.477109,-0.371023,2.428723
5.425091,-1.980198,-0.699963,7.082118,-0.233176,0.832349
9.595513,7.799338,1.365008,6.064153,0.201260,2.206453
3.829062,1.587009,0.785826,5.620031,0.353925,0.756849
1.084442,-0.041396,-0.076308,9.303987,-0.139690,0.116670
4.422680,0.874389,0.390377,7.369330,0.170405,0.615665
2.406406,1.538762,1.137838,8.597545,0.646318,0.350848
6.564555,1.086125,0.327935,6.523492,0.097806,1.024560
12.255932,5.168654,0.798190,9.637499,0.116319,1.417484
8.979477,7.847096,1.436405,5.137947,0.217229,2.533215
1.292795,-0.055039,-0.085096,5.452297,-0.130747,0.237397
3.246800,9.848636,2.504693,8.211583,0.351141,1.665255
3.260657,11.066644,2.568531,6.972950,0.321058,2.215178
6.261493,0.555717,0.177039,7.889930,0.056184,0.797767
6.565029,-9.849219,-1.965744,6.619264,-0.274124,2.112246
1.785826,-0.417554,-0.459378,6.364841,-0.460907,0.290693
4.287293,0.917787,0.421777,7.342461,0.188693,0.601583
1.007577,4.937864,2.739017,6.760824,0.660976,1.041887
3.115065,-7.653794,-2.368547,8.666891,-0.421490,1.219080
4.545269,3.333091,1.265467,9.936667,0.397334,0.606926
0.814174,13.144481,3.017870,5.843133,0.294332,3.407464
8.507524,-4.009623,-0.880855,6.607422,-0.179379,1.470489
4.115652,3.760125,1.480574,9.785195,0.450734,0.625272
7.390670,10.245231,1.891735,8.861357,0.251353,1.662666
4.823221,0.627709,0.258831,7.126658,0.105727,0.684402
0.520682,8.771267,3.023007,9.646565,0.426524,1.379198
0.808516,-9.337470,-2.968847,7.279273,-0.402045,1.918417
4.545039,-2.828002,-1.113191,5.204256,-0.375996,1.083681
13.081950,0.014043,0.002147,9.942687,0.000318,1.315737
2.308306,1.241832,0.987142,7.720500,0.625987,0.353692
2.484907,-0.320537,-0.256570,7.694414,-0.201484,0.326520
3.443073,1.596686,0.868440,7.856893,0.417338,0.498571
2.278510,-4.676332,-2.234812,6.668671,-0.604847,0.969592
3.826110,4.867939,1.809324,7.419585,0.469957,0.960213
9.275307,2.458161,0.518133,6.493267,0.106378,1.494424
4.962560,-1.624829,-0.632834,9.732486,-0.234002,0.545590
2.009000,-8.931928,-2.699110,9.665020,-0.402953,1.310287
2.680056,-0.240151,-0.178736,7.498238,-0.131913,0.359335
1.605636,-0.588803,-0.702966,9.475922,-0.677955,0.184248
2.327264,2.843938,1.769963,6.749055,0.700049,0.622642
3.223594,-0.083645,-0.051884,5.202464,-0.032175,0.619906
6.333471,-12.417807,-2.198312,9.578040,-0.250273,1.795740
2.280114,5.427801,2.346200,7.848488,0.559600,0.954449
9.149612,-2.481629,-0.529712,8.195766,-0.110014,1.170352
9.790911,-5.910534,-1.086236,8.030040,-0.178834,1.496736
11.603447,-7.968051,-1.203484,9.632558,-0.159509,1.553339
2.986758,0.897588,0.583872,8.981043,0.353609,0.352238
2.333017,12.762017,2.779967,6.736075,0.294466,2.721439
5.634935,1.373093,0.478034,7.188817,0.161841,0.814516
2.760682,1.800995,1.156083,6.502201,0.585483,0.536308
2.998710,-1.842806,-1.102074,5.196672,-0.536760,0.712826
11.706037,0.315349,0.053865,9.195152,0.009188,1.273682
7.196065,-1.266444,-0.348414,6.545751,-0.094614,1.121910
7.265133,-2.177180,-0.582318,5.217786,-0.150266,1.474298
5.903737,-2.129748,-0.692431,8.885155,-0.213003,0.720674
2.966014,13.886150,2.720727,9.551120,0.268810,2.068033
3.094614,-3.113926,-1.577017,7.656726,-0.573760,0.637395
5.348170,-1.743113,-0.630140,5.960139,-0.216903,0.959578
3.106312,2.127170,1.200889,7.260578,0.540631,0.551052
4.523014,-4.672451,-1.603296,9.819365,-0.416149,0.738903
5.342461,0.764717,0.284347,5.803314,0.104626,0.933111
3.138668,-5.928887,-2.167835,9.457073,-0.485006,0.869976
8.313134,-4.216122,-0.938725,8.353137,-0.191730,1.157936
2.037722,1.301559,1.136827,5.746315,0.727536,0.444321
2.377408,1.693297,1.237794,6.304055,0.671698,0.493936
3.846499,-0.176474,-0.091694,7.330861,-0.047584,0.525436
1.650427,0.349943,0.417875,5.617347,0.457036,0.302537
2.820619,1.619035,1.042165,8.028358,0.549387,0.424026
4.852499,-2.577781,-0.976633,7.592776,-0.329112,0.753256
2.051601,-8.142575,-2.647948,8.906883,-0.432733,1.287201
3.528480,5.435423,1.990018,8.640060,0.477723,0.889742
10.521271,-6.426341,-1.096639,6.134189,-0.167545,2.114180
5.038884,0.852264,0.335103,6.516745,0.129788,0.787884
5.782048,1.863087,0.623429,5.381837,0.199253,1.147248
4.935402,10.881934,2.290003,8.677880,0.295909,1.731162
0.642769,-0.093449,-0.288747,6.511581,-0.725045,0.100097
3.919377,-11.175982,-2.467002,6.683900,-0.308545,2.316170
5.914279,0.499725,0.168589,6.794053,0.056670,0.874646
4.297890,3.969163,1.491311,8.086672,0.434323,0.795110
0.363584,-4.861403,-2.992291,9.038172,-0.685769,0.809240
3.078444,-2.277265,-1.273812,5.984873,-0.555900,0.685208
8.452068,1.727902,0.403313,6.171859,0.092593,1.407296
10.493128,-5.803234,-1.010365,9.871417,-0.160073,1.267964
13.519004,-0.382349,-0.056550,7.576731,-0.008371,1.785231
3.437082,-0.547232,-0.315778,5.585084,-0.178790,0.625752
2.578651,0.445770,0.342355,7.749043,0.254708,0.339361
1.293006,4.343943,2.562980,5.789938,0.702086,1.046631
1.294982,-4.612215,-2.594143,5.972853,-0.677118,1.080553
8.487038,-3.634860,-0.809297,6.646238,-0.168951,1.427803
1.493031,0.569085,0.728322,6.737350,0.728163,0.242481
1.421249,0.396691,0.544375,9.817777,0.629766,0.152168
6.806535,-3.376276,-0.920940,6.614593,-0.229820,1.190277
4.101668,-4.542359,-1.672672,8.281473,-0.451649,0.832763
2.596430,5.634625,2.277996,5.696665,0.529725,1.365810
0.218056,-9.807541,-3.097133,5.776234,-0.387092,2.630630
3.718595,-3.522321,-1.516597,8.648414,-0.492855,0.653057
4.289654,-3.248878,-1.296409,9.086239,-0.421863,0.635826
1.999834,0.206729,0.206015,6.593957,0.201783,0.305439
14.130578,0.631867,0.089373,5.141266,0.012622,2.752125
5.539282,-1.540072,-0.542357,9.352263,-0.184259,0.622359
9.039659,2.915985,0.624078,7.161170,0.128562,1.348138
2.265889,-0.233672,-0.205525,5.751876,-0.178233,0.396726
0.683632,4.957429,2.867520,9.042763,0.669718,0.800964
2.871999,0.636197,0.435994,5.614577,0.286015,0.528098
2.052553,-0.570478,-0.542187,6.172169,-0.465894,0.349419
1.353238,-0.076928,-0.113573,5.306131,-0.165962,0.255582
1.208498,-0.069558,-0.114988,5.961358,-0.187656,0.203169
2.946278,1.879705,1.135776,6.915583,0.551800,0.533576
4.972771,-3.479380,-1.221031,6.538026,-0.361267,0.988561
0.394825,7.238446,3.032610,7.942532,0.503574,1.386000
2.960334,0.245140,0.165240,7.134507,0.110664,0.416826
0.935037,0.141858,0.301130,6.587474,0.565330,0.144110
0.948775,-3.780358,-2.649801,5.531557,-0.783104,0.962492
2.982584,6.130743,2.236020,9.169908,0.485459,0.924380
2.436784,7.236027,2.491935,7.694624,0.460822,1.304586
0.756743,0.070038,0.184577,6.103547,0.451610,0.124691
2.150458,-2.212157,-1.599080,5.536599,-0.748974,0.621344
3.119091,-7.410667,-2.344820,7.529857,-0.429937,1.358257
2.019173,1.011634,0.928917,7.491823,0.670673,0.312569
13.933278,-4.142732,-0.578004,5.743262,-0.078274,2.566564
4.396199,-2.964149,-1.186472,5.215114,-0.399126,1.078865
2.603373,-1.693251,-1.153322,9.902463,-0.612248,0.331698
1.622839,-6.190729,-2.628849,8.303146,-0.543792,1.047364
2.640918,-2.329225,-1.445534,8.160995,-0.644393,0.471473
1.461392,-0.102239,-0.139692,6.312044,-0.188308,0.232279
6.560594,-1.733615,-0.516683,6.867531,-0.149483,0.999173
10.352612,-2.076773,-0.395952,7.014566,-0.074383,1.515155
1.402889,-0.350746,-0.489990,5.109147,-0.590955,0.285887
2.222200,-1.449744,-1.156109,8.329703,-0.689052,0.336989
10.151264,3.504840,0.664894,7.893967,0.120953,1.385828
11.237998,-3.124559,-0.542372,5.964954,-0.091614,1.979644
5.780283,11.992982,2.243350,8.270391,0.264313,2.004396
