deltaX,deltaY,deltaTheta,Velocity,SteeringAngle,Time
-1.878803,3.157346,0.675907,7.549972,0.752128,1.193462
5.405660,-5.674598,1.195909,6.979537,-0.353991,1.255652
8.802480,0.556544,0.396732,7.875802,0.028599,1.120638
6.333760,4.950473,1.026804,6.058055,0.297325,1.429556
3.392078,-5.303108,3.130667,5.799280,-0.491477,1.290817
-2.334454,-1.930669,0.310486,9.109906,-0.699555,1.278663
6.767563,8.053281,2.336919,8.142440,0.283273,1.471388
2.813504,-4.427982,3.111690,5.624665,-0.571828,1.110331
8.982931,-2.902694,1.177823,7.868867,-0.129565,1.219455
2.376736,7.015741,1.534097,9.139153,0.472755,1.064700
1.454928,9.045096,2.584336,8.795445,0.406995,1.488921
-0.864243,5.282868,1.463690,7.868868,0.635397,1.194578
7.384837,0.094655,0.080530,5.719607,0.006931,1.291285
-0.340031,-0.027493,2.758854,9.365643,-0.757113,1.383450
9.390814,-0.447650,2.842306,7.692183,-0.020266,1.222674
7.319455,-5.631855,2.162516,7.174593,-0.258234,1.384358
