deltaX,deltaY,deltaTheta,Velocity,SteeringAngle,Time
28.595720,8.719280,0.591921,6.657392,0.038994,4.556806
1.696392,-15.937611,-2.929512,5.460422,-0.243263,4.323694
23.135714,15.456182,1.177941,5.601867,0.079682,5.266068
12.588249,-20.153290,-2.024933,8.748007,-0.141826,3.242510
13.285685,-25.186357,-2.170790,6.474969,-0.123621,5.396743
25.525434,-7.907711,-0.600841,8.306087,-0.044277,3.266099
34.274567,-22.653540,-1.168059,8.384188,-0.053642,5.190294
7.616756,24.560146,2.540150,7.123049,0.147487,4.800381
23.440630,0.037868,0.003247,5.193836,0.000267,4.513172
11.213747,14.885384,1.850323,5.443435,0.169770,3.965680
6.409438,18.281294,2.467173,7.819048,0.192430,3.238708
23.905907,6.580675,0.537242,5.767192,0.042779,4.351482
19.393326,10.780786,1.014726,7.638575,0.087358,3.033257
21.949968,-28.136251,-1.816577,8.548959,-0.088159,4.808683
10.369318,13.678192,1.844274,6.547137,0.183607,3.033689
2.582488,-24.314173,-2.929960,6.583011,-0.161275,5.471904
3.433208,-19.054491,-2.785061,6.890289,-0.200599,3.975939
1.315460,27.653896,3.046527,9.028866,0.143319,4.676057
12.758799,-18.185877,-1.918025,6.145302,-0.146356,4.234922
9.441282,20.712231,2.286207,6.771939,0.158546,4.222679
7.344847,-22.640690,-2.514198,7.366218,-0.158519,4.270431
16.638416,27.718296,2.060359,8.842554,0.105679,4.392821
29.407915,10.470805,0.684116,9.119664,0.042944,3.490649
13.761055,-24.239758,-2.108922,7.583108,-0.124165,4.456955
14.930039,-12.116520,-1.363492,5.414367,-0.130357,3.842071
23.381222,-8.805981,-0.720391,5.696967,-0.056378,4.481872
4.051478,26.365786,2.836649,9.078099,0.147131,4.216549
26.712889,11.152418,0.790988,7.259513,0.053176,4.093400
12.525112,27.316586,2.281765,7.627771,0.120398,4.944704
23.640306,-17.048496,-1.249576,9.759201,-0.080112,3.190095
2.295493,-24.293427,-2.953171,7.477794,-0.161780,4.839877
23.456881,6.635599,0.551364,8.079410,0.044625,3.055782
3.263689,19.223862,2.805254,7.945436,0.199544,3.491449
1.053424,-17.822166,-3.023515,8.896892,-0.220047,3.038918
22.419334,-26.968151,-1.754487,7.701509,-0.087494,5.194764
28.182486,-9.785457,-0.668388,6.782179,-0.043961,4.481692
16.855446,-26.159781,-1.996839,8.800472,-0.107642,4.199967
14.510363,19.718847,1.872809,7.040394,0.130832,4.042871
10.197646,-27.550636,-2.432583,9.389374,-0.127015,4.057841
27.487671,3.757919,0.271741,7.178057,0.019517,3.876941
14.526052,-11.050944,-1.300713,6.142535,-0.131932,3.191668
15.880223,-7.355157,-0.867495,5.013889,-0.095774,3.602374
2.522544,16.983084,2.846683,6.878129,0.226480,3.591970
3.933177,-18.236473,-2.716748,6.495115,-0.206611,3.991345
8.836411,-26.063934,-2.487858,8.287607,-0.136798,4.361722
22.303017,-27.149906,-1.766193,9.986311,-0.087752,4.021060
37.836948,-22.743944,-1.082462,9.160199,-0.046656,5.062981
19.831331,-12.004783,-1.088680,5.607323,-0.089128,4.345654
8.265610,16.743061,2.224445,7.720007,0.189768,3.000056
4.002808,-15.529634,-2.637069,5.825592,-0.236997,3.748414
23.878101,4.566393,0.377913,5.626431,0.030886,4.346642
14.243584,-14.390690,-1.581071,6.412514,-0.139505,3.512087
8.204357,-25.939135,-2.528920,6.602652,-0.139286,5.464508
37.571247,24.862890,1.169186,9.516421,0.048948,5.015031
2.551740,27.524866,2.956708,8.145723,0.143090,5.038376
14.586530,16.026947,1.664830,7.415458,0.135659,3.289326
2.942336,16.479906,2.788234,7.730854,0.231012,3.066581
20.997190,17.644844,1.397722,6.477731,0.093544,4.599349
13.083272,15.242664,1.722970,5.001078,0.149956,4.560142
16.082014,-31.060242,-2.186070,7.990993,-0.101219,5.387488
21.309172,-15.041797,-1.229328,6.938408,-0.088218,4.006839
9.547153,17.635244,2.149209,6.920816,0.173633,3.540772
20.361116,-17.693653,-1.430835,8.439424,-0.096971,3.486149
11.144745,17.209995,1.992257,6.344553,0.162302,3.835176
6.566374,16.550224,2.386182,7.468929,0.205850,3.059905
0.020629,26.066580,3.140010,7.602294,0.152255,5.383202
2.638062,20.164135,2.881412,9.033163,0.192606,3.271039
3.902696,17.486423,2.702421,7.897995,0.214532,3.140642
19.146502,-16.982279,-1.451133,6.491173,-0.103351,4.311123
21.198784,-10.629547,-0.929570,5.749229,-0.075471,4.277147
19.149584,14.782213,1.314783,5.854687,0.100685,4.445294
30.252071,29.567829,1.547921,9.339011,0.065988,5.015527
3.129591,-21.533836,-2.852946,5.736098,-0.179954,5.468221
11.065166,-28.349247,-2.397332,7.804341,-0.121847,5.017491
9.217945,22.171909,2.353575,5.799765,0.152615,5.276332
5.834385,-14.304876,-2.367065,5.468352,-0.235313,3.611076
31.491999,-26.394993,-1.395147,9.680058,-0.062460,4.609743
15.113192,-17.176189,-1.698405,5.098783,-0.130523,5.075472
16.961454,1.803024,0.211807,5.553633,0.024774,3.077075
11.256845,-11.365796,-1.580428,5.223269,-0.175837,3.406193
23.628296,-4.558560,-0.381173,5.092781,-0.031488,4.753850
19.763096,-21.775211,-1.667601,7.154661,-0.100396,4.628029
15.557204,-20.535669,-1.844936,6.736374,-0.123141,4.426032
12.090092,-20.131027,-2.059916,6.803568,-0.145013,4.146732
17.612793,-11.913247,-1.189418,5.001930,-0.105018,4.512381
35.802898,-25.573641,-1.240504,9.377542,-0.052803,5.006801
26.285093,-10.621275,-0.768037,8.546925,-0.052822,3.399923
9.218883,-26.759962,-2.478054,8.461782,-0.132842,4.383401
22.435617,-5.532731,-0.483561,7.710050,-0.041432,3.026496
14.033134,10.243919,1.261131,5.698090,0.134906,3.260993
18.773584,-9.001729,-0.894209,6.899921,-0.082885,3.120375
13.539578,20.139389,1.957817,7.023735,0.135936,4.075496
4.402970,-16.631367,-2.623989,7.769974,-0.221093,3.005103
21.170591,15.384553,1.256836,8.405238,0.089602,3.328336
13.101926,29.334614,2.301485,8.144491,0.113184,4.971521
11.041661,-11.092650,-1.575404,5.652841,-0.179197,3.077259
5.834783,20.489058,2.586730,7.869452,0.178646,3.640519
21.935009,22.707670,1.605408,8.396116,0.090863,4.196672
30.323383,2.260798,0.148837,8.735834,0.009770,3.483998
19.984791,9.477962,0.885687,7.247490,0.077329,3.153951
7.666946,-17.591976,-2.319593,7.582728,-0.188816,3.201812
13.771133,-15.130340,-1.664785,6.109581,-0.143605,3.769098
14.721903,-10.225492,-1.214154,5.252020,-0.126632,3.631928
16.299372,5.714445,0.674406,5.257524,0.076461,3.348304
12.961120,19.448076,1.965891,8.199289,0.141458,3.366998
13.007872,-12.581382,-1.537466,5.354107,-0.152485,3.737369
39.479328,-13.498363,-0.658899,8.946075,-0.031016,4.749299
17.932835,-21.829544,-1.766172,8.199509,-0.108982,3.937643
30.385942,15.947701,0.966640,8.358163,0.054106,4.270085
3.568253,-23.686558,-2.842552,8.301645,-0.163658,4.147265
29.388895,2.421253,0.164402,7.413779,0.011127,3.982004
17.551685,3.028176,0.341694,5.022731,0.038154,3.563387
