deltaX,deltaY,deltaTheta,Velocity,SteeringAngle,Time
6.328624,-9.555770,-1.971669,5.627510,-0.283162,2.408237
10.536984,5.247536,0.924110,7.290327,0.150330,1.673571
9.375697,-1.415483,-0.299684,9.068281,-0.062902,1.049540
11.351267,-3.003036,-0.517260,5.020498,-0.086917,2.365047
11.633857,4.047358,0.669596,8.893027,0.106288,1.411324
14.057021,2.144576,0.302791,5.718238,0.042390,2.496248
0.531826,4.813663,2.921520,6.009329,0.687374,1.184398
10.473471,0.990545,0.188592,6.310218,0.035775,1.669643
10.881910,-6.254015,-1.043243,6.904004,-0.157498,1.903071
4.696368,-9.412169,-2.215950,6.989732,-0.327987,1.863420
10.413868,-4.478972,-0.812360,5.298780,-0.138530,2.199381
2.878459,13.894097,2.733030,9.018933,0.269327,2.195536
8.180789,-4.873009,-1.074452,5.321189,-0.211761,1.878546
8.226645,6.090498,1.274577,9.631779,0.228454,1.138208
1.272888,7.201405,2.791696,6.773611,0.494054,1.530368
2.807185,-5.328117,-2.171781,5.819884,-0.531277,1.270091
8.454881,1.397939,0.327717,6.956219,0.075985,1.237474
9.127986,-3.342423,-0.702019,9.706467,-0.140567,1.022330
5.215620,11.432239,2.285563,9.227547,0.281887,1.710505
9.272697,-1.201272,-0.257664,6.931116,-0.054917,1.352755
6.867494,11.578662,2.070907,6.513129,0.250195,2.488328
11.293283,-5.149564,-0.855639,8.531601,-0.132928,1.500165
8.331592,10.717519,1.820001,5.179189,0.228559,3.021102
9.099009,9.486988,1.612540,6.436509,0.216171,2.281564
11.486419,0.255285,0.044443,8.231079,0.007726,1.395953
5.834109,-4.894656,-1.396114,8.035414,-0.325591,1.029312
4.382983,12.762930,2.480000,6.089717,0.273319,2.905301
5.795899,-5.093414,-1.441952,5.117953,-0.329729,1.646608
9.866617,-10.764631,-1.657795,6.079721,-0.199267,2.700605
2.842956,5.415006,2.174676,5.447330,0.524879,1.378821
4.088937,5.362574,1.838692,6.753383,0.440724,1.154443
1.502106,-11.491192,-2.881631,5.987202,-0.329759,2.812598
10.949153,-2.036964,-0.367872,7.173356,-0.065607,1.561342
6.583195,5.462077,1.385180,5.344087,0.290148,1.736178
7.372009,0.889076,0.240044,6.739411,0.064400,1.104441
4.189373,-6.548753,-2.003363,9.229323,-0.408996,1.001622
5.442996,-0.616404,-0.225534,5.164536,-0.081996,1.062906
7.508666,9.594774,1.813538,6.062716,0.252999,2.313901
10.068192,-1.920859,-0.377039,8.066579,-0.073015,1.278207
5.124553,7.931697,1.994356,5.619803,0.341813,1.994886
10.845828,1.996594,0.364101,5.430587,0.065563,2.041994
8.383838,10.780622,1.819632,7.120273,0.227204,2.210633
2.160192,9.985014,2.715473,6.485951,0.365484,2.188044
2.533721,13.057879,2.758281,9.626438,0.287050,1.941184
9.591885,0.328403,0.068449,7.426573,0.014250,1.292572
8.435574,-5.253862,-1.114064,6.766053,-0.209672,1.547589
12.632045,-2.576448,-0.402403,6.877977,-0.061937,1.887112
9.609129,1.051698,0.218028,6.936021,0.044980,1.396432
3.440523,5.183781,1.969688,6.919929,0.491764,1.062744
6.713966,0.243497,0.072503,6.195692,0.021565,1.084601
5.725294,8.831700,1.991282,5.439892,0.308693,2.295732
8.006060,-3.659242,-0.857417,8.400102,-0.186706,1.080726
10.005141,-0.734445,-0.146551,7.597911,-0.029192,1.321553
11.178324,-1.997497,-0.353655,9.359692,-0.061895,1.219569
12.770523,-2.977803,-0.458169,6.459834,-0.069169,2.047810
4.102797,-5.753544,-1.902678,7.543840,-0.431868,1.094518
10.015761,4.050555,0.768619,9.529748,0.137918,1.162089
8.772305,-9.517397,-1.652228,5.301345,-0.223450,2.743084
5.574632,6.552267,1.731683,9.462111,0.340344,1.033574
10.803755,-6.340582,-1.061443,9.324848,-0.160246,1.408593
0.300965,-14.827428,-3.101002,7.532544,-0.263404,3.053340
1.751701,14.842000,2.906633,6.960319,0.259786,3.142182
2.274196,9.271324,2.660504,9.303354,0.386475,1.405437
3.367560,9.576298,2.465294,7.594142,0.355890,1.746599
0.203246,-7.306967,-3.085976,6.689310,-0.500547,1.686764
1.855036,-6.423422,-2.579306,7.946980,-0.521682,1.129345
4.127876,4.109817,1.566412,5.264130,0.451166,1.228316
12.206663,-7.416492,-1.091945,5.906536,-0.144414,2.542637
11.114386,3.594276,0.625549,8.922377,0.104969,1.330785
1.189815,-7.222721,-2.815061,7.874473,-0.494505,1.326067
6.896681,-6.080213,-1.445128,8.368192,-0.280152,1.200475
5.330602,-7.506719,-1.906633,8.035254,-0.340450,1.339707
7.409104,1.729113,0.458546,6.279807,0.118913,1.222213
10.981509,2.282013,0.409778,7.388690,0.072422,1.528684
6.864809,9.732965,1.913024,5.096945,0.267841,2.735165
7.279294,0.169193,0.046479,6.974003,0.012755,1.044151
3.292126,-5.476011,-2.059004,6.102360,-0.492459,1.257735
11.727364,-5.286180,-0.846965,5.147203,-0.127103,2.575455
8.090395,5.472414,1.189434,9.872599,0.225533,1.050162
5.679796,-13.590893,-2.349889,7.224116,-0.245511,2.596505
7.979797,-4.556538,-1.037660,6.630210,-0.212598,1.450130
3.578111,6.747749,2.166458,5.239134,0.433346,1.787438
1.507307,-6.052134,-2.653417,5.704021,-0.556682,1.494991
2.807718,-10.660838,-2.626553,8.365898,-0.337458,1.789616
3.934340,4.458854,1.695620,5.181681,0.467143,1.297543
7.478697,-0.723343,-0.192841,5.174390,-0.051217,1.454326
6.533314,5.394665,1.380452,6.386775,0.291992,1.438099
5.277481,12.348886,2.333848,7.771567,0.267326,2.192879
8.946634,-8.343756,-1.501089,7.205315,-0.219425,1.868397
12.189534,-4.818946,-0.752956,7.309096,-0.111737,1.836390
8.254732,-4.883739,-1.068483,5.340396,-0.209258,1.884341
1.708635,-10.306588,-2.813019,7.124814,-0.361163,2.090542
3.025415,12.323919,2.660131,7.658448,0.297055,2.269321
7.290323,1.086957,0.296011,6.488039,0.079846,1.140235
7.743483,1.379170,0.352518,7.779423,0.088930,1.016299
1.613817,7.055686,2.691877,9.117346,0.494143,1.096079
10.122780,8.393277,1.384526,9.814088,0.191761,1.453212
10.107064,-1.430601,-0.281221,6.507178,-0.054873,1.573881
0.542970,8.168821,3.008851,5.745071,0.453598,2.148568
2.553012,10.421237,2.661093,9.665507,0.347403,1.520677
13.665151,2.253021,0.326807,5.137308,0.046939,2.707929
12.652627,3.155421,0.488806,8.621389,0.074079,1.527699
8.787501,11.010495,1.794427,5.804745,0.218379,2.785861
3.140146,-9.437965,-2.499206,9.077548,-0.364537,1.443039
5.100252,7.437576,1.939409,5.472668,0.350668,1.937582
7.835674,-6.942826,-1.450112,6.594535,-0.248173,1.735658
9.251287,-10.988841,-1.742070,9.924896,-0.209896,1.647947
3.411254,9.365236,2.442973,7.339900,0.360585,1.765317
11.731447,3.270436,0.543745,5.381238,0.087960,2.291315
5.473009,2.707263,0.918729,5.267688,0.282667,1.200933
1.134591,-5.643030,-2.744762,7.709088,-0.598073,1.045189
0.878637,12.515800,3.001418,7.063498,0.307904,2.672209
